Timestamp,Mag_X,Mag_Y,Mag_Z,Ori_X,Ori_Y,Ori_Z,Position
2025-07-25 23:39:05.694,3.99375,43.350002,18.056252,11.029361,17.216122,-107.330166,6_0
2025-07-25 23:39:05.664,7.0875,39.131252,24.675001,21.327718,19.262392,-115.081529,6_0
2025-07-25 23:39:10.444,-15.6,-44.34375,-7.40625,172.072942,-23.316014,-61.839932,6_0
2025-07-25 23:39:07.984,-45.993752,-3.45,-15.750001,84.906116,-30.398583,-22.990927,6_0
2025-07-25 23:39:09.284,8.493751,45.09375,12.656251,15.882773,23.789935,-114.483219,6_0
2025-07-25 23:39:01.984,-30.018751,-11.793751,32.043751,59.703175,-44.124439,-94.451237,6_0
2025-07-25 23:39:02.054,-22.575001,0.05625,38.175003,49.017754,-29.224634,-111.536504,6_0
2025-07-25 23:39:07.204,17.362501,-8.08125,43.387501,80.756496,-25.277401,-142.392068,6_0
2025-07-25 23:39:02.034,-24.656252,-3.50625,36.693752,51.090498,-33.483899,-107.849165,6_0
2025-07-25 23:39:05.784,-9.01875,47.081253,3.6,-4.299873,2.352925,-96.457291,6_0
2025-07-25 23:39:08.344,-39.150002,-13.35,-17.793751,164.139691,24.679564,-51.267168,6_0
2025-07-25 23:39:09.463,-26.475,41.0625,-4.0125,-2.091127,-17.383219,-88.104024,6_0
2025-07-25 23:39:05.574,12.375001,21.018751,39.243752,44.34445,11.004865,-131.542381,6_0
2025-07-25 23:39:07.714,-39.9375,26.493752,-5.3625,4.677754,-37.149501,-91.320319,6_0
2025-07-25 23:39:11.244,-10.59375,47.137501,2.11875,5.603583,1.868057,-97.437013,6_0
2025-07-25 23:39:05.254,11.700001,-44.831253,13.856251,133.763559,-56.001414,-86.867555,6_0
2025-07-25 23:39:12.264,-18.975,-40.96875,-10.1625,-178.991951,-17.436476,-62.25352,6_0
2025-07-25 23:39:07.924,-46.481251,-0.01875,-14.118751,70.651251,-41.853432,-30.363435,6_0
2025-07-25 23:39:08.394,-36.206253,-20.4375,-16.40625,172.184233,16.177132,-56.644152,6_0
2025-07-25 23:39:02.254,-2.60625,38.287502,25.368752,20.167582,12.179823,-119.914134,6_0
2025-07-25 23:39:07.184,18.056252,-12.39375,42.356251,83.542803,-30.259712,-141.73958,6_0
2025-07-25 23:39:10.064,-43.012501,-1.33125,-19.44375,120.871617,28.831017,-28.483274,6_0
2025-07-25 23:39:01.834,-36.412502,-24.262501,12.431251,86.45605,-53.576803,-50.418346,6_0
2025-07-25 23:39:04.024,1.3125,47.943752,5.75625,-3.232202,16.963743,-103.174577,6_0
2025-07-25 23:39:10.654,9.993751,-45.393753,16.387501,148.89143,-58.143864,-86.162379,6_0
2025-07-25 23:39:03.594,12.0375,-39.693752,24.356251,106.017848,-55.042869,-110.613028,6_0
2025-07-25 23:39:03.444,1.40625,-48.693752,1.10625,161.885783,-45.502222,-65.773158,6_0
2025-07-25 23:39:02.664,-45.0,10.837501,-17.043751,30.885128,-44.732094,-44.736038,6_0
2025-07-25 23:39:13.044,-1.03125,39.318752,23.962502,27.008743,9.260259,-107.790371,6_0
2025-07-25 23:39:04.944,-26.681252,-32.568752,-17.53125,172.490786,-1.153497,-65.757762,6_0
2025-07-25 23:39:02.394,-11.306251,46.743752,1.40625,-6.314888,4.291702,-99.18227,6_0
2025-07-25 23:39:10.224,-40.200001,-14.212501,-15.356251,159.62148,25.133667,-56.904987,6_0
2025-07-25 23:39:03.714,11.25,-18.150002,41.625,73.185771,-34.636627,-131.889122,6_0
2025-07-25 23:39:13.434,-45.693752,2.3625,-18.262501,56.76797,-47.888434,-26.902667,6_0
2025-07-25 23:39:01.304,-35.512501,-23.306252,-20.962502,95.284581,-45.224793,0.258887,6_0
2025-07-25 23:39:05.704,2.5875,44.362503,16.050001,8.711414,16.19355,-105.702403,6_0
2025-07-25 23:39:11.044,13.1625,28.837502,33.037502,46.679005,16.535324,-134.952298,6_0
2025-07-25 23:39:05.104,-0.65625,-48.0,-8.400001,171.988535,-37.600437,-62.872807,6_0
2025-07-25 23:39:08.284,-41.34375,-7.0875,-19.1625,147.28609,30.151156,-38.94232,6_0
2025-07-25 23:39:11.824,-46.425003,-2.19375,-12.6,109.994691,15.43307,-25.563033,6_0
2025-07-25 23:39:06.784,-20.8125,-39.0,-10.21875,157.562765,-15.357038,-63.64582,6_0
2025-07-25 23:39:05.814,-14.55,45.637501,-0.525,-6.214685,-3.734706,-92.50272,6_0
2025-07-25 23:39:12.884,12.843751,12.4125,42.9375,58.867549,-2.679772,-140.500065,6_0
2025-07-25 23:39:02.654,-44.831253,12.375001,-16.743752,26.805306,-45.080543,-48.153459,6_0
